x,y,cls,conf
59392,8704,0,0.24404758
59904,8704,0,0.3203959
60416,8704,0,0.3229529
60928,8704,0,0.26081285
61440,8704,0,0.24735057
61952,8704,0,0.24662407
62464,8704,0,0.22414035
62976,8704,0,0.2937589
63488,8704,0,0.21576357
64000,8704,0,0.14928317
4608,9216,0,0.17210226
5120,9216,0,0.2703839
5632,9216,0,0.13056232
6144,9216,0,0.2393049
6656,9216,0,0.20465964
7168,9216,0,0.35784447
7680,9216,0,0.15616924
8192,9216,0,0.1522212
8704,9216,0,0.09929539
9216,9216,0,0.1737083
9728,9216,0,0.19783162
10240,9216,0,0.14560063
10752,9216,0,0.19613242
11264,9216,0,0.2549261
11776,9216,0,0.17119972
12288,9216,0,0.09314047
12800,9216,0,0.16244647
13312,9216,0,0.15941359
